pesel,exam_type,score,attempt_number,exam_date,city
10000000017,PRACTICE,not passed,4,2019-04-29,Leszno
10000000017,PRACTICE,not passed,5,2019-05-02,Leszno
10000000017,PRACTICE,not passed,6,2019-05-03,Leszno
10000000017,PRACTICE,passed,7,2019-05-04,Leszno
10000000018,PRACTICE,not passed,1,2018-12-24,Bielsk Podlaski
10000000018,PRACTICE,passed,2,2018-12-25,Bielsk Podlaski
10000000019,PRACTICE,not passed,1,2016-11-24,Rzeszow
10000000019,PRACTICE,not passed,2,2016-11-29,Rzeszow
10000000019,PRACTICE,not passed,3,2016-12-01,Rzeszow
10000000019,PRACTICE,not passed,4,2016-12-05,Rzeszow
10000000019,PRACTICE,not passed,5,2016-12-07,Rzeszow
10000000019,PRACTICE,not passed,6,2016-12-12,Rzeszow
10000000019,PRACTICE,not passed,7,2016-12-13,Rzeszow
10000000019,PRACTICE,not passed,8,2016-12-18,Rzeszow
10000000019,PRACTICE,passed,9,2016-12-22,Rzeszow
10000000020,PRACTICE,passed,1,2015-09-13,Warszawa - Odlewnicza
10000000021,PRACTICE,not passed,1,2018-11-01,Kalisz
10000000021,PRACTICE,not passed,2,2018-11-02,Kalisz
10000000021,PRACTICE,not passed,3,2018-11-03,Kalisz
10000000021,PRACTICE,not passed,4,2018-11-08,Kalisz
10000000021,PRACTICE,not passed,5,2018-11-11,Kalisz
10000000021,PRACTICE,passed,6,2018-11-14,Kalisz
10000000022,PRACTICE,not passed,1,2015-04-18,Chelm
10000000022,PRACTICE,not passed,2,2015-04-22,Chelm
10000000022,PRACTICE,not passed,3,2015-04-24,Chelm
10000000022,PRACTICE,not passed,4,2015-04-27,Chelm
10000000022,PRACTICE,not passed,5,2015-04-30,Chelm
10000000022,PRACTICE,not passed,6,2015-05-04,Chelm
10000000022,PRACTICE,not passed,7,2015-05-05,Chelm
10000000022,PRACTICE,not passed,8,2015-05-10,Chelm
10000000022,PRACTICE,not passed,9,2015-05-13,Chelm
10000000022,PRACTICE,passed,10,2015-05-17,Chelm
10000000023,PRACTICE,not passed,1,2016-09-15,Bielsk Podlaski
10000000023,PRACTICE,not passed,2,2016-09-16,Bielsk Podlaski
10000000023,PRACTICE,passed,3,2016-09-20,Bielsk Podlaski
10000000024,PRACTICE,passed,1,2019-06-12,Bytom
10000000025,PRACTICE,not passed,1,2016-11-26,Dabrowa Gornicza
10000000025,PRACTICE,not passed,2,2016-11-28,Dabrowa Gornicza
10000000025,PRACTICE,not passed,3,2016-11-30,Dabrowa Gornicza
10000000025,PRACTICE,not passed,4,2016-12-04,Dabrowa Gornicza
10000000025,PRACTICE,not passed,5,2016-12-09,Dabrowa Gornicza
10000000025,PRACTICE,not passed,6,2016-12-11,Dabrowa Gornicza
10000000025,PRACTICE,passed,7,2016-12-14,Dabrowa Gornicza
10000000026,PRACTICE,not passed,1,2019-04-09,Lodz - Maratonska
10000000026,PRACTICE,not passed,2,2019-04-11,Lodz - Maratonska
10000000026,PRACTICE,not passed,3,2019-04-16,Lodz - Maratonska
10000000026,PRACTICE,passed,4,2019-04-18,Lodz - Maratonska
10000000027,PRACTICE,not passed,1,2017-06-21,Radom
10000000027,PRACTICE,not passed,2,2017-06-23,Radom
10000000027,PRACTICE,passed,3,2017-06-24,Radom
10000000028,PRACTICE,not passed,1,2020-01-15,Siedlce
10000000028,PRACTICE,not passed,2,2020-01-16,Siedlce
10000000028,PRACTICE,not passed,3,2020-01-21,Siedlce
10000000028,PRACTICE,not passed,4,2020-01-26,Siedlce
10000000028,PRACTICE,not passed,5,2020-01-30,Siedlce
10000000028,PRACTICE,not passed,6,2020-02-02,Siedlce
10000000028,PRACTICE,passed,7,2020-02-05,Siedlce
10000000029,PRACTICE,not passed,1,2019-05-19,Katowice
10000000029,PRACTICE,not passed,2,2019-05-22,Katowice
10000000029,PRACTICE,not passed,3,2019-05-23,Katowice
10000000029,PRACTICE,passed,4,2019-05-27,Katowice
10000000030,PRACTICE,passed,1,2016-04-16,Gorzow Wielkopolski
10000000031,PRACTICE,not passed,1,2018-04-27,Wloclawek
10000000031,PRACTICE,not passed,2,2018-04-30,Wloclawek
10000000031,PRACTICE,passed,3,2018-05-03,Wloclawek
10000000032,PRACTICE,not passed,1,2016-08-13,Tarnow
10000000032,PRACTICE,not passed,2,2016-08-14,Tarnow
10000000032,PRACTICE,not passed,3,2016-08-18,Tarnow
10000000032,PRACTICE,not passed,4,2016-08-23,Tarnow
10000000032,PRACTICE,not passed,5,2016-08-28,Tarnow
10000000032,PRACTICE,not passed,6,2016-08-30,Tarnow
10000000032,PRACTICE,passed,7,2016-09-01,Tarnow
10000000033,PRACTICE,not passed,1,2016-11-09,Suwalki
10000000033,PRACTICE,not passed,2,2016-11-10,Suwalki
10000000033,PRACTICE,not passed,3,2016-11-11,Suwalki
10000000033,PRACTICE,not passed,4,2016-11-15,Suwalki
10000000033,PRACTICE,passed,5,2016-11-17,Suwalki
10000000034,PRACTICE,not passed,1,2017-06-01,Szczecin
10000000034,PRACTICE,not passed,2,2017-06-04,Szczecin
10000000034,PRACTICE,passed,3,2017-06-09,Szczecin
10000000035,PRACTICE,not passed,1,2015-03-24,Pulawy
10000000035,PRACTICE,not passed,2,2015-03-25,Pulawy
10000000035,PRACTICE,not passed,3,2015-03-27,Pulawy
10000000035,PRACTICE,not passed,4,2015-03-31,Pulawy
10000000035,PRACTICE,passed,5,2015-04-02,Pulawy
10000000036,PRACTICE,not passed,1,2017-12-01,Barlinek
10000000036,PRACTICE,not passed,2,2017-12-06,Barlinek
10000000036,PRACTICE,not passed,3,2017-12-09,Barlinek
10000000036,PRACTICE,passed,4,2017-12-14,Barlinek
10000000037,PRACTICE,not passed,1,2017-10-26,Suwalki
10000000037,PRACTICE,not passed,2,2017-10-30,Suwalki
10000000037,PRACTICE,not passed,3,2017-11-01,Suwalki
10000000037,PRACTICE,not passed,4,2017-11-06,Suwalki
10000000037,PRACTICE,passed,5,2017-11-08,Suwalki
10000000038,PRACTICE,not passed,1,2018-02-14,Warszawa - Radarowa
10000000038,PRACTICE,not passed,2,2018-02-15,Warszawa - Radarowa
10000000038,PRACTICE,not passed,3,2018-02-17,Warszawa - Radarowa
10000000038,PRACTICE,not passed,4,2018-02-22,Warszawa - Radarowa
10000000038,PRACTICE,not passed,5,2018-02-23,Warszawa - Radarowa
10000000038,PRACTICE,not passed,6,2018-02-26,Warszawa - Radarowa
10000000038,PRACTICE,passed,7,2018-02-28,Warszawa - Radarowa
10000000039,PRACTICE,passed,1,2016-03-26,Lomza
10000000040,PRACTICE,passed,1,2019-02-18,Katowice
10000000041,PRACTICE,passed,1,2019-05-20,Kielce
10000000042,PRACTICE,not passed,1,2017-10-31,Plock
10000000042,PRACTICE,not passed,2,2017-11-03,Plock
10000000042,PRACTICE,passed,3,2017-11-08,Plock
10000000043,PRACTICE,passed,1,2018-12-18,Chelm
10000000044,PRACTICE,not passed,1,2019-01-22,Lodz - Smutna
10000000044,PRACTICE,passed,2,2019-01-26,Lodz - Smutna
10000000045,PRACTICE,not passed,1,2016-10-16,Wloclawek
10000000045,PRACTICE,not passed,2,2016-10-17,Wloclawek
10000000045,PRACTICE,not passed,3,2016-10-18,Wloclawek
10000000045,PRACTICE,not passed,4,2016-10-19,Wloclawek
10000000045,PRACTICE,passed,5,2016-10-23,Wloclawek
10000000046,PRACTICE,passed,1,2017-05-24,Siedlce
10000000047,PRACTICE,passed,1,2018-10-24,Glogow
10000000048,PRACTICE,not passed,1,2019-04-27,Plock
10000000048,PRACTICE,not passed,2,2019-05-01,Plock
10000000048,PRACTICE,not passed,3,2019-05-02,Plock
10000000048,PRACTICE,not passed,4,2019-05-07,Plock
10000000048,PRACTICE,not passed,5,2019-05-08,Plock
10000000048,PRACTICE,not passed,6,2019-05-11,Plock
10000000048,PRACTICE,not passed,7,2019-05-16,Plock
10000000048,PRACTICE,passed,8,2019-05-21,Plock
10000000049,PRACTICE,not passed,1,2016-08-16,Czestochowa
10000000049,PRACTICE,passed,2,2016-08-19,Czestochowa
10000000050,PRACTICE,not passed,1,2017-04-01,Siedlce
10000000050,PRACTICE,passed,2,2017-04-02,Siedlce
