pesel,exam_type,score,attempt_number,exam_date,city
28350234800,PRACTICE,90.25,1,2015-03-05,Zielona Gora
36943377500,PRACTICE,81,1,2015-03-12,Legnica
60221152100,PRACTICE,67.45,1,2015-03-05,Inowroclaw
60221152100,PRACTICE,53.199999999999996,2,2015-03-05,Legnica
60221152100,PRACTICE,52.25,3,2015-03-05,Legnica
60221152100,PRACTICE,78.85,4,2015-03-05,Szczecinek
86768246700,PRACTICE,91,1,2015-03-11,Lodz - Smutna
33905691700,PRACTICE,76.0,1,2015-03-06,Pila
01195803900,PRACTICE,76.95,1,2015-03-05,Oswiecim
66468136600,PRACTICE,60.8,1,2015-03-06,Piotrkow Trybunalski
66468136600,PRACTICE,86.45,2,2015-03-06,Torun
30983856300,PRACTICE,56,1,2015-03-11,Grudziadz
30983856300,PRACTICE,82,2,2015-03-11,Bielsk Podlaski
28241363100,PRACTICE,54.15,1,2015-03-05,Tarnow
28241363100,PRACTICE,91.19999999999999,2,2015-03-05,Sochaczew
27656714700,PRACTICE,77.89999999999999,1,2015-03-05,Warszawa - Bemowo
07483185400,PRACTICE,51,1,2015-03-12,Warszawa - Bemowo
07483185400,PRACTICE,83,2,2015-03-12,Grudziadz
66356346400,PRACTICE,52.25,1,2015-03-05,Kedzierzyn Kozle
66356346400,PRACTICE,82.64999999999999,2,2015-03-05,Boleslawiec
73010852500,PRACTICE,91,1,2015-03-12,Walbrzych
32978359400,PRACTICE,79,1,2015-03-12,Przemysl
66351504100,PRACTICE,76.95,1,2015-03-05,Garwolin
83332459200,PRACTICE,87.39999999999999,1,2015-03-05,Milicz
77645762600,PRACTICE,50.349999999999994,1,2015-03-06,Chelm
77645762600,PRACTICE,91.19999999999999,2,2015-03-06,Czestochowa
14619129200,PRACTICE,60.8,1,2015-03-06,Opole
14619129200,PRACTICE,88.35,2,2015-03-06,Konin
81374511600,PRACTICE,97,1,2015-03-11,Jastrzebie Zdroj
06184533900,PRACTICE,52.25,1,2015-03-06,Nowy Targ
06184533900,PRACTICE,68.39999999999999,2,2015-03-06,Nowy Targ
06184533900,PRACTICE,88.35,3,2015-03-06,Plock
34059082900,PRACTICE,78,1,2015-03-12,Barlinek
69641000300,PRACTICE,52.25,1,2015-03-06,Walbrzych
69641000300,PRACTICE,90.25,2,2015-03-06,Opole
35676124000,PRACTICE,77,1,2015-03-12,Wroclaw
79169727700,PRACTICE,78,1,2015-03-11,Nowy Sacz
00857903000,PRACTICE,100,1,2015-03-11,Czestochowa
65613127500,PRACTICE,59,1,2015-03-12,Rybnik
65613127500,PRACTICE,56,2,2015-03-12,Rybnik
65613127500,PRACTICE,95,3,2015-03-12,Torun
56556476300,PRACTICE,92.14999999999999,1,2015-03-06,Skierniewice
13227750400,PRACTICE,93.1,1,2015-03-06,Nowy Targ
11904511500,PRACTICE,88.35,1,2015-03-05,Poznan
37946985800,PRACTICE,55,1,2015-03-12,Grudziadz
37946985800,PRACTICE,73,2,2015-03-12,Krasnik
37946985800,PRACTICE,53,3,2015-03-12,Swidnica
37946985800,PRACTICE,65,4,2015-03-12,Krakow - Nowohucka
37946985800,PRACTICE,91,5,2015-03-12,Tarnow
22468505300,PRACTICE,95,1,2015-03-12,Sochaczew
74512569100,PRACTICE,48.449999999999996,1,2015-03-05,Torun
74512569100,PRACTICE,83.6,2,2015-03-05,Szczecin
43584705800,PRACTICE,67.45,1,2015-03-05,Nysa
43584705800,PRACTICE,93.1,2,2015-03-05,Krosno
89812822600,PRACTICE,88,1,2015-03-12,Konin
58321579600,PRACTICE,65.55,1,2015-03-06,Lodz - Maratonska
58321579600,PRACTICE,87.39999999999999,2,2015-03-06,Legnica
61162982400,PRACTICE,58.9,1,2015-03-05,Warszawa - Odlewnicza
61162982400,PRACTICE,79.8,2,2015-03-05,Boleslawiec
37845411500,PRACTICE,63.65,1,2015-03-06,Lomza
37845411500,PRACTICE,92.14999999999999,2,2015-03-06,Kedzierzyn Kozle
05733651200,PRACTICE,94.05,1,2015-03-05,Poznan
44056098800,PRACTICE,71.25,1,2015-03-06,Kamienna Gora
44056098800,PRACTICE,83.6,2,2015-03-06,Gdansk
08596717800,PRACTICE,72,1,2015-03-12,Zielona Gora
08596717800,PRACTICE,99,2,2015-03-12,Opole
19767605700,PRACTICE,93,1,2015-03-11,Suwalki
62768541700,PRACTICE,93,1,2015-03-11,Krosno
83276632200,PRACTICE,67,1,2015-03-12,Bytom
83276632200,PRACTICE,96,2,2015-03-12,Szczecin
79117248200,PRACTICE,65,1,2015-03-12,Mlawa
79117248200,PRACTICE,84,2,2015-03-12,Sieradz
35109625600,PRACTICE,69.35,1,2015-03-06,Ciechanow
35109625600,PRACTICE,63.65,2,2015-03-06,Lodz - Smutna
35109625600,PRACTICE,47.5,3,2015-03-06,Boleslawiec
35109625600,PRACTICE,88.35,4,2015-03-06,Gdynia
41923845100,PRACTICE,85,1,2015-03-11,Siedlce
49773343900,PRACTICE,83.6,1,2015-03-06,Warszawa - Bemowo
42913571300,PRACTICE,98,1,2015-03-11,Tarnogrzeg
68149668300,PRACTICE,95,1,2015-03-12,Szczecinek
68681790300,PRACTICE,78,1,2015-03-12,Nysa
40794234700,PRACTICE,97,1,2015-03-12,Bytom
42533999000,PRACTICE,65,1,2015-03-11,Olsztyn
42533999000,PRACTICE,96,2,2015-03-11,Kamienna Gora
42618062400,PRACTICE,53,1,2015-03-12,Jelenia Gora
42618062400,PRACTICE,75,2,2015-03-12,Bytom
76358421900,PRACTICE,75,1,2015-03-12,Lublin
47428655600,PRACTICE,57.949999999999996,1,2015-03-06,Bielsk Podlaski
47428655600,PRACTICE,47.5,2,2015-03-06,Biala Podlaska
47428655600,PRACTICE,67.45,3,2015-03-06,Sochaczew
47428655600,PRACTICE,83.6,4,2015-03-06,Kamienna Gora
21713381600,PRACTICE,96,1,2015-03-11,Zielona Gora
61721760200,PRACTICE,81,1,2015-03-12,Lodz - Maratonska
85114140700,PRACTICE,69,1,2015-03-12,Nysa
85114140700,PRACTICE,67,2,2015-03-12,Warszawa - Bemowo
85114140700,PRACTICE,74,3,2015-03-12,Wloclawek
85114140700,PRACTICE,67,4,2015-03-12,Zwolen
85114140700,PRACTICE,94,5,2015-03-12,Kalisz
36736083700,PRACTICE,57,1,2015-03-12,Luban
36736083700,PRACTICE,84,2,2015-03-12,Jelenia Gora
81729345700,PRACTICE,52,1,2015-03-11,Poznan
81729345700,PRACTICE,100,2,2015-03-11,Nysa
85683663200,PRACTICE,58.9,1,2015-03-05,Olsztyn
85683663200,PRACTICE,61.75,2,2015-03-05,Olawa
85683663200,PRACTICE,55.099999999999994,3,2015-03-05,Krakow - Balicka
85683663200,PRACTICE,86.45,4,2015-03-05,Pulawy
49561984800,PRACTICE,93,1,2015-03-11,Skierniewice
17679242600,PRACTICE,84.55,1,2015-03-05,Bialystok
07241568700,PRACTICE,49.4,1,2015-03-05,Jelenia Gora
07241568700,PRACTICE,83.6,2,2015-03-05,Lodz - Smutna
86181860800,PRACTICE,68.39999999999999,1,2015-03-06,Olsztyn
86181860800,PRACTICE,57.949999999999996,2,2015-03-06,Skierniewice
86181860800,PRACTICE,92.14999999999999,3,2015-03-06,Nowy Sacz
35282778900,PRACTICE,67.45,1,2015-03-05,Ciechanow
35282778900,PRACTICE,64.6,2,2015-03-05,Luban
35282778900,PRACTICE,68.39999999999999,3,2015-03-05,Chelm
35282778900,PRACTICE,90.25,4,2015-03-05,Bydgoszcz
70053883200,PRACTICE,52,1,2015-03-12,Nowy Targ
70053883200,PRACTICE,69,2,2015-03-12,Przemysl
70053883200,PRACTICE,53,3,2015-03-12,Chelm
70053883200,PRACTICE,65,4,2015-03-12,Zielona Gora
70053883200,PRACTICE,100,5,2015-03-12,Wroclaw
20117668200,PRACTICE,64,1,2015-03-11,Warszawa - Bemowo
20117668200,PRACTICE,77,2,2015-03-11,Grojec
88127184700,PRACTICE,81,1,2015-03-12,Krasnik
87326492700,PRACTICE,87,1,2015-03-11,Warszawa - Odlewnicza
60281010900,PRACTICE,93.1,1,2015-03-06,Bytom
31874743900,PRACTICE,52,1,2015-03-11,Przemysl
31874743900,PRACTICE,56,2,2015-03-11,Jelenia Gora
31874743900,PRACTICE,68,3,2015-03-11,Jastrzebie Zdroj
31874743900,PRACTICE,57,4,2015-03-11,Ostrowiec Swietokrzyski
31874743900,PRACTICE,91,5,2015-03-11,Chelm
46787419900,PRACTICE,51,1,2015-03-12,Czestochowa
46787419900,PRACTICE,54,2,2015-03-12,Klodzko
46787419900,PRACTICE,65,3,2015-03-12,Siedlce
46787419900,PRACTICE,88,4,2015-03-12,Krosno
80860402200,PRACTICE,58.9,1,2015-04-03,Bielsko Biala
80860402200,PRACTICE,90.25,2,2015-04-03,Bydgoszcz
47204696900,PRACTICE,76,1,2015-04-09,Tychy
52420079200,PRACTICE,93.1,1,2015-04-02,Tarnogrzeg
74590593300,PRACTICE,62.699999999999996,1,2015-04-02,Tarnogrzeg
74590593300,PRACTICE,61.75,2,2015-04-02,Skierniewice
74590593300,PRACTICE,58.9,3,2015-04-02,Warszawa - Bemowo
74590593300,PRACTICE,64.6,4,2015-04-02,Gorzow Wielkopolski
74590593300,PRACTICE,70.3,5,2015-04-02,Zwolen
74590593300,PRACTICE,70.3,6,2015-04-02,Legnica
74590593300,PRACTICE,79.8,7,2015-04-02,Ciechanow
32101152100,PRACTICE,58,1,2015-04-08,Olesnica
32101152100,PRACTICE,99,2,2015-04-08,Kedzierzyn Kozle
19830703700,PRACTICE,64.6,1,2015-04-03,Skierniewice
19830703700,PRACTICE,48.449999999999996,2,2015-04-03,Wloclawek
19830703700,PRACTICE,64.6,3,2015-04-03,Jastrzebie Zdroj
19830703700,PRACTICE,78.85,4,2015-04-03,Zamosc
62037447800,PRACTICE,52.25,1,2015-04-03,Szczecin
62037447800,PRACTICE,57.949999999999996,2,2015-04-03,Slupsk
62037447800,PRACTICE,59.849999999999994,3,2015-04-03,Pila
62037447800,PRACTICE,67.45,4,2015-04-03,Bytom
62037447800,PRACTICE,59.849999999999994,5,2015-04-03,Bielsk Podlaski
62037447800,PRACTICE,79.8,6,2015-04-03,Rzeszow
47563382200,PRACTICE,51.3,1,2015-04-03,Koszalin
47563382200,PRACTICE,86.45,2,2015-04-03,Czestochowa
80096868000,PRACTICE,66,1,2015-04-09,Olsztyn
80096868000,PRACTICE,81,2,2015-04-09,Kedzierzyn Kozle
58036821400,PRACTICE,52,1,2015-04-08,Wloclawek
58036821400,PRACTICE,65,2,2015-04-08,Bialystok
58036821400,PRACTICE,55,3,2015-04-08,Krasnik
58036821400,PRACTICE,77,4,2015-04-08,Biala Podlaska
23265130400,PRACTICE,59,1,2015-04-08,Sochaczew
23265130400,PRACTICE,86,2,2015-04-08,Wloclawek
23898311900,PRACTICE,77,1,2015-04-09,Radom - Radomskiego
16686391100,PRACTICE,75.05,1,2015-04-02,Siedlce
17075032600,PRACTICE,93,1,2015-04-08,Kamienna Gora
23563943100,PRACTICE,95.0,1,2015-04-02,Kozienice
51546393900,PRACTICE,59.849999999999994,1,2015-04-03,Krakow - Nowohucka
51546393900,PRACTICE,62.699999999999996,2,2015-04-03,Krosno
51546393900,PRACTICE,78.85,3,2015-04-03,Kozienice
18988351600,PRACTICE,85,1,2015-04-09,Walbrzych
64555899200,PRACTICE,81.7,1,2015-04-02,Krosno
82532964200,PRACTICE,78,1,2015-04-09,Bialystok
51332317300,PRACTICE,55,1,2015-04-08,Olesnica
51332317300,PRACTICE,63,2,2015-04-08,Koszalin
51332317300,PRACTICE,96,3,2015-04-08,Zamosc
36853720100,PRACTICE,88.35,1,2015-04-02,Nowy Targ
81103955100,PRACTICE,68.39999999999999,1,2015-04-02,Olesnica
81103955100,PRACTICE,75.05,2,2015-04-02,Suwalki
83812748600,PRACTICE,57.0,1,2015-04-02,Oswiecim
83812748600,PRACTICE,51.3,2,2015-04-02,Siedlce
83812748600,PRACTICE,48.449999999999996,3,2015-04-02,Suwalki
83812748600,PRACTICE,55.099999999999994,4,2015-04-02,Koszalin
83812748600,PRACTICE,75.05,5,2015-04-02,Radom
11014053400,PRACTICE,67.45,1,2015-04-03,Zielona Gora
11014053400,PRACTICE,77.89999999999999,2,2015-04-03,Konin
25137452500,PRACTICE,86.45,1,2015-04-03,Skierniewice
45838235900,PRACTICE,73.14999999999999,1,2015-04-03,Ostrowiec Swietokrzyski
45838235900,PRACTICE,83.6,2,2015-04-03,Warszawa - Bemowo
58039497200,PRACTICE,95.0,1,2015-04-03,Krosno
04266896200,PRACTICE,77.89999999999999,1,2015-04-02,Lomza
30864246300,PRACTICE,77,1,2015-04-08,Ostrowiec Swietokrzyski
87960665400,PRACTICE,51,1,2015-04-08,Katowice
87960665400,PRACTICE,83,2,2015-04-08,Krosno
61052190700,PRACTICE,69,1,2015-04-08,Radom
61052190700,PRACTICE,72,2,2015-04-08,Warszawa - Odlewnicza
61052190700,PRACTICE,59,3,2015-04-08,Radom - Radomskiego
61052190700,PRACTICE,66,4,2015-04-08,Olsztyn
61052190700,PRACTICE,55,5,2015-04-08,Bielsk Podlaski
61052190700,PRACTICE,59,6,2015-04-08,Inowroclaw
61052190700,PRACTICE,95,7,2015-04-08,Szczecinek
11172829400,PRACTICE,62.699999999999996,1,2015-04-02,Lomza
11172829400,PRACTICE,62.699999999999996,2,2015-04-02,Krosno
11172829400,PRACTICE,82.64999999999999,3,2015-04-02,Kamienna Gora
12337341800,PRACTICE,62,1,2015-04-09,Czestochowa
12337341800,PRACTICE,78,2,2015-04-09,Warszawa - Odlewnicza
67933630600,PRACTICE,58.9,1,2015-04-03,Lodz - Smutna
67933630600,PRACTICE,75.05,2,2015-04-03,Nowy Targ
19842034300,PRACTICE,95,1,2015-04-08,Bielsk Podlaski
05637440300,PRACTICE,77,1,2015-04-09,Sieradz
68375959100,PRACTICE,75.05,1,2015-04-02,Czestochowa
78062956600,PRACTICE,62.699999999999996,1,2015-04-03,Rzeszow
78062956600,PRACTICE,69.35,2,2015-04-03,Pulawy
78062956600,PRACTICE,73.14999999999999,3,2015-04-03,Lublin
78062956600,PRACTICE,84.55,4,2015-04-03,Plock
80722699000,PRACTICE,89.3,1,2015-04-02,Gdansk
45722993000,PRACTICE,99,1,2015-04-08,Lubin
56861692700,PRACTICE,55.099999999999994,1,2015-04-02,Wroclaw
56861692700,PRACTICE,51.3,2,2015-04-02,Sieradz
56861692700,PRACTICE,72.2,3,2015-04-02,Swidnica
56861692700,PRACTICE,70.3,4,2015-04-02,Legnica
56861692700,PRACTICE,83.6,5,2015-04-02,Bielsko Biala
25879376100,PRACTICE,67,1,2015-04-08,Lublin
25879376100,PRACTICE,94,2,2015-04-08,Walbrzych
40880982500,PRACTICE,89,1,2015-04-09,Torun
67802584900,PRACTICE,54.15,1,2015-04-03,Ostrowiec Swietokrzyski
67802584900,PRACTICE,85.5,2,2015-04-03,Jastrzebie Zdroj
79059053400,PRACTICE,95,1,2015-04-08,Zwolen
42598209700,PRACTICE,83,1,2015-04-09,Siedlce
27646012600,PRACTICE,61,1,2015-04-08,Kedzierzyn Kozle
27646012600,PRACTICE,50,2,2015-04-08,Krakow - Balicka
27646012600,PRACTICE,50,3,2015-04-08,Bielsk Podlaski
27646012600,PRACTICE,89,4,2015-04-08,Swidnica
28155540000,PRACTICE,51,1,2015-04-09,Kamienna Gora
28155540000,PRACTICE,81,2,2015-04-09,Kedzierzyn Kozle
78374595800,PRACTICE,60,1,2015-04-09,Sieradz
78374595800,PRACTICE,86,2,2015-04-09,Elblag
52662887700,PRACTICE,78.85,1,2015-04-03,Gdansk
36725606300,PRACTICE,76.0,1,2015-04-03,Tarnow
80440879600,PRACTICE,56,1,2015-04-09,Nowy Targ
80440879600,PRACTICE,82,2,2015-04-09,Poznan
48536805400,PRACTICE,89.3,1,2015-04-02,Slupsk
85797045300,PRACTICE,62.699999999999996,1,2015-04-03,Radom
85797045300,PRACTICE,63.65,2,2015-04-03,Warszawa - Bemowo
85797045300,PRACTICE,61.75,3,2015-04-03,Lubin
85797045300,PRACTICE,94.05,4,2015-04-03,Leszno
27261640800,PRACTICE,66.5,1,2015-04-02,Slupsk
27261640800,PRACTICE,77.89999999999999,2,2015-04-02,Warszawa - Odlewnicza
67522422700,PRACTICE,78.85,1,2015-04-03,Lukow
06551019600,PRACTICE,53.199999999999996,1,2015-04-02,Siedlce
06551019600,PRACTICE,87.39999999999999,2,2015-04-02,Gdynia
02256603600,PRACTICE,72,1,2015-04-08,Bytom
02256603600,PRACTICE,53,2,2015-04-08,Kozienice
02256603600,PRACTICE,61,3,2015-04-08,Radom
02256603600,PRACTICE,66,4,2015-04-08,Poznan
02256603600,PRACTICE,51,5,2015-04-08,Barlinek
02256603600,PRACTICE,81,6,2015-04-08,Szczecinek
01235330700,PRACTICE,66.5,1,2015-04-02,Bielsk Podlaski
01235330700,PRACTICE,72.2,2,2015-04-02,Dabrowa Gornicza
01235330700,PRACTICE,74.1,3,2015-04-02,Gdansk
01235330700,PRACTICE,76.0,4,2015-04-02,Dabrowa Gornicza
50447718600,PRACTICE,86,1,2015-04-09,Ostrowiec Swietokrzyski
68541405100,PRACTICE,90.25,1,2015-04-02,Lodz - Maratonska
86457489500,PRACTICE,79.8,1,2015-04-03,Glogow
54098113500,PRACTICE,52.25,1,2015-04-03,Radom - Radomskiego
54098113500,PRACTICE,64.6,2,2015-04-03,Ostrowiec Swietokrzyski
54098113500,PRACTICE,77.89999999999999,3,2015-04-03,Kielce
14919389600,PRACTICE,97,1,2015-04-09,Ciechanow
23456730700,PRACTICE,81.7,1,2015-04-03,Gdynia
85275733900,PRACTICE,86.45,1,2015-04-03,Olesnica
06148776300,PRACTICE,54.15,1,2015-04-02,Glogow
06148776300,PRACTICE,57.0,2,2015-04-02,Walbrzych
06148776300,PRACTICE,83.6,3,2015-04-02,Krakow - Balicka
