pesel,lecturer_rating,instructor_rating,course_rating
81162483300,1,5,7
05437402300,3,6,7
77587942700,6,7,7
03815751000,5,4,3
59131358200,8,6,4
20062881900,8,8,3
39723474800,5,6,2
72536281000,5,9,5
24417684900,4,6,8
55203795600,2,8,5
22704936000,9,4,4
64615981600,7,8,8
32980902000,5,7,6
77412686400,7,6,6
43895512000,5,5,5
67823435900,4,9,4
61794326300,5,5,6
17727831500,2,7,6
70507207400,5,6,6
30213530700,4,8,4
73705050800,6,5,4
30150101200,7,9,7
09948459600,6,7,4
46424980500,4,6,6
60347536700,1,4,9
85565248700,5,6,4
79555108400,7,8,6
40769631500,3,7,8
10585179900,5,6,2
04728479100,9,5,7
03789933700,6,6,5
65243436800,5,6,3
39286584600,5,6,6
35579069600,8,5,6
62011893800,5,6,0
67909791500,2,5,9
35260347400,5,3,6
13343560200,5,4,6
81637205600,3,8,4
85650587700,7,6,2
16943261800,6,6,6
89496585800,7,7,2
39790078700,7,5,5
41985880400,5,5,6
29417213100,5,7,5
08861362900,1,2,6
24744042600,7,8,6
84863745000,9,7,4
28131639400,6,5,8
20195200000,6,0,4
52846121700,6,9,6
59249679200,2,6,5
50884927800,5,6,6
35708914500,5,5,5
15629151700,6,5,5
22214968400,5,6,4
60281010900,5,7,5
41671078500,3,6,7
45219427800,6,4,5
22453893400,7,6,5
42712764400,7,7,2
76868836300,7,9,4
15687596400,3,6,5
46535817900,3,9,6
83960866700,6,6,6
15041237800,5,6,6
64779707200,7,9,4
48421178500,6,4,6
16193067700,7,8,8
00134857100,8,6,6
55455117900,2,7,6
39507522800,6,9,6
12980494800,6,6,5
01294105500,8,6,8
30494185200,8,7,6
10040147500,6,8,4
84665620500,7,6,3
89812270500,9,5,2
79036274600,7,5,3
06616497200,7,6,5
07088470500,7,8,6
75109757300,6,5,5
28047954500,8,6,5
49361035400,7,7,6
82196208100,6,5,6
52226647600,5,5,2
79525583300,7,7,4
66746731200,4,4,6
41543613900,4,5,9
67723199000,7,5,6
09182566300,5,5,5
65640569500,7,9,6
06237370600,7,8,6
29643026900,3,7,4
56718034500,5,5,4
16731887700,2,6,6
62630137800,6,5,3
09726636400,7,7,7
86907397700,8,7,3
45331670500,7,6,5
87426628500,7,4,6
53032423300,4,6,5
74202370500,6,6,5
69588064200,5,2,9
31827362900,6,5,4
20551182700,6,6,3
62514631100,6,5,4
81542752300,5,6,4
38065631000,9,3,6
25779652800,5,6,5
56969135600,8,6,4
22973951300,7,3,9
69268811600,6,2,4
30441944200,7,9,7
17013327500,2,6,9
71217580700,5,7,5
46137074300,4,4,5
85873873100,5,6,6
39166483500,6,6,7
60543209600,7,7,5
68569879500,7,8,6
26807989700,5,6,7
42321404900,7,6,6
00746822400,5,6,6
73643361500,3,6,5
67356674900,7,6,7
42639038900,6,9,5
78747534300,6,5,6
01794881700,4,5,6
65413667000,7,7,4
27867152600,7,4,7
12920621200,2,5,5
03143321700,1,8,7
61385860200,5,7,8
42015334700,6,9,2
31510085100,7,8,6
71257228600,6,7,5
64706971800,4,5,6
79963033500,7,5,5
66535944000,6,5,7
29864097600,6,6,7
68656581300,6,8,1
30574271900,5,4,6
57446119500,7,6,7
54380247100,6,9,5
59482922500,6,7,5
64972112900,5,6,5
20499751700,5,4,1
12735272800,7,6,4
64650276800,7,9,8
38983305900,6,5,7
16616419900,7,6,4
62736345700,7,6,9
37202192000,6,6,2
32383039900,6,9,8
53817333700,5,5,3
41443192100,2,2,3
82481696100,5,6,6
28635566100,5,5,5
74673294100,8,6,7
78023847700,7,5,4
78821725400,7,6,6
70044615400,7,5,5
34988194600,7,6,5
14744805200,5,8,7
87083575900,7,5,7
65012012100,8,8,6
26192883800,5,7,9
49442775900,7,5,7
02929444500,4,6,6
82256050600,6,5,9
85396061800,8,0,6
63405887000,6,3,7
01252838900,1,0,1
84324320400,8,4,6
56473273400,7,7,2
58966027100,6,1,6
47354976300,4,6,6
25190925300,6,6,6
85254130900,5,6,3
33799023500,7,6,5
43768398400,6,4,8
73834534900,6,7,8
00482691100,4,4,4
75752243900,2,6,5
48715789400,6,6,8
75286041100,5,5,6
11116350000,5,5,5
60733649700,6,2,7
71321024000,6,6,6
28278755500,9,5,6
49847390700,3,7,6
17756401900,4,4,4
30174893200,6,5,4
50688479400,6,7,5
46471253200,7,7,6
80904448500,8,7,4
33838156000,5,7,5
56275247100,6,5,5
54764113100,9,7,4
16567020100,3,3,5
13719185200,6,4,3
02917089200,6,5,2
45835609700,3,6,6
58203107100,9,5,1
69123573900,3,6,6
75194587100,4,6,2
20470919200,5,6,8
80267058700,8,6,4
78651089300,7,5,8
81481607200,5,5,6
18574837100,5,6,7
68779798000,3,6,3
27324221200,7,6,5
07466826000,5,5,5
79445065800,9,5,5
30319503800,3,5,4
12452361900,4,6,5
57719587400,9,7,1
77218463600,2,7,4
32697234700,6,4,4
00585272900,6,9,8
44766758300,2,5,5
54221507900,8,4,3
27527784000,6,7,5
72109502000,8,5,8
50943648100,6,5,6
75944322100,5,4,8
86161876700,3,4,7
63068199600,6,6,5
19030313500,6,8,3
77789609400,6,5,1
69942833500,7,2,0
08960176900,4,6,5
28774889400,8,9,6
56178082400,6,8,6
16156130800,5,5,5
72994174100,8,8,6
17493020100,4,5,5
58767026900,6,9,6
70390913500,6,6,6
73092646600,6,5,1
10119952400,9,7,5
84885408700,5,6,4
20231856500,5,7,7
38741229800,9,7,5
21380468800,6,5,7
68504384000,3,8,4
74952101000,4,6,3
61252876900,6,2,5
29699913300,9,5,6
65031396800,5,7,5
37826437400,7,4,4
47073651400,7,6,5
85695261800,5,6,5
79356983800,7,5,7
76218558700,6,7,4
33628187600,5,5,6
26143565300,7,6,4
21496666200,5,7,9
59365068100,7,6,7
64153850300,7,6,5
85791950000,1,6,6
15450988700,7,7,5
12164446100,8,5,5
87326492700,3,5,6
81082602500,8,7,8
35289999200,6,6,8
58498697300,7,6,5
73833236000,5,9,8
59527028500,6,6,7
31709122900,4,3,0
43127355500,7,7,5
05809289200,4,5,6
19455706300,7,3,6
20632846300,6,6,2
27034615100,7,6,7
48547444300,0,1,6
76702062800,5,6,3
10458007800,6,8,8
20670345200,5,2,6
68358624600,3,7,6
20864776800,5,5,7
28377853300,5,6,3
85610167200,3,8,7
25935840100,8,8,2
57898600100,6,7,6
69743552600,7,7,5
74420413200,7,6,7
46842102200,7,7,6
02529938000,6,9,6
25860888900,6,7,3
29553955300,8,9,6
75768497000,5,5,6
89784642000,3,8,4
81080314800,9,6,6
89928277000,8,7,5
64530557700,7,7,5
51708658300,6,6,8
64609886600,4,5,4
38352945100,8,7,6
87577350300,7,9,7
38073060600,7,5,6
00895241500,6,8,4
81908916700,6,8,6
61253840700,3,6,6
21163565600,6,8,7
01499164400,7,8,5
72093419100,2,3,8
67113632900,7,3,7
03019307500,3,5,8
61358386600,3,5,4
22356684100,3,6,7
73926052300,0,6,5
75659584400,7,4,6
84054684400,7,6,7
47925151300,2,5,5
11315573200,8,6,9
56308413800,8,5,2
48836192000,3,6,2
24613371200,2,9,5
21331592000,5,5,6
71460196700,8,2,5
39613281200,7,7,2
48466067000,1,7,7
06754852900,6,6,5
22153472000,6,5,7
55991185900,5,7,5
47750098600,4,6,4
59057308600,3,6,7
74243287000,7,5,7
28283576600,6,4,6
49398584100,5,7,5
43058752600,7,2,4
03722112200,8,8,4
82662375800,3,4,6
76465874000,4,8,7
66010412200,6,5,7
79166631200,7,6,6
85241341600,4,8,6
24262718700,5,7,0
88169494700,4,9,4
30617818000,8,7,4
52749106600,5,8,6
26092948300,6,6,6
67566153400,5,6,4
09609699400,2,7,6
23272461800,8,6,5
84890121500,6,7,9
41438126200,6,6,4
17360322000,7,7,7
47669516100,0,5,8
41450341200,2,8,5
21791314200,6,9,2
43650201200,3,5,2
03137033100,2,2,5
36954086600,8,3,6
59458575900,8,6,4
21710054000,9,4,6
07294585100,6,8,9
07371133500,5,5,6
02127701100,7,6,7
27630546600,7,7,6
43191657300,1,6,5
56327235200,2,5,7
28763784300,6,6,6
71979651400,5,5,4
36070554500,6,1,5
61467604000,6,7,4
28391550200,6,4,5
34958344600,4,5,7
84283136000,7,6,5
52045416500,5,5,7
19236315100,8,7,2
14851263600,6,6,4
47633004800,7,9,4
24545648900,8,8,4
62052887100,3,4,2
45299656000,1,6,4
14456856300,7,4,7
12693266800,6,8,6
48424244000,5,4,4
26627587400,6,5,1
57866323100,6,9,8
85731041000,5,5,6
07507658000,8,8,6
87805603400,4,4,5
88234886300,5,7,6
41872863600,6,3,7
33889827500,6,7,3
87166453300,9,6,7
55304128200,7,6,7
79689925000,8,6,4
01391215200,4,6,6
78210606600,5,7,7
78239254700,5,4,5
33384147000,4,8,8
56451739600,7,4,3
87140200700,2,6,5
76725947600,7,7,4
59303393700,6,7,7
89104108200,7,9,5
00589273200,9,2,5
34889904300,6,6,4
21151574600,9,2,7
87824018600,5,8,8
17651114200,6,7,7
13854705100,5,8,7
20123193400,8,4,4
43974331700,4,4,9
47433047200,6,4,4
12090419000,7,8,6
76756416000,6,6,3
55176965100,7,7,6
84232687700,5,6,5
24294680600,4,6,8
30214363300,8,6,6
24119228200,7,6,7
74147137200,3,6,3
45463482600,4,5,6
27825261700,6,5,8
64552236300,7,8,4
58622805300,7,5,6
02905535900,4,9,5
44709025500,0,6,5
41284190300,5,8,3
42172858000,5,7,4
83131194700,7,9,3
00824558700,5,6,7
14275617200,4,5,5
78857057400,5,6,6
30523261700,7,9,8
75808918500,4,6,5
45496191800,6,8,4
88127184700,6,7,5
07866994700,7,8,6
75173384600,3,9,3
07285353500,5,5,7
01253479800,5,7,4
89661595500,7,3,4
71860096600,8,7,7
50098767000,4,6,4
53963399000,5,7,5
63139708800,6,7,7
32649260700,1,4,6
01533302100,4,6,8
00613973700,7,7,7
88264500700,7,7,8
29598902600,5,7,7
75189500200,7,6,5
58778571900,5,5,2
69637025800,6,6,3
18868350400,5,7,2
88094288200,9,5,4
47291726300,7,7,1
18299179800,7,9,0
09093908700,4,5,4
55970645900,5,2,4
63078878400,8,6,4
20117668200,8,6,5
52536000800,7,5,5
31345546400,3,4,7
07534463100,6,6,6
76328149000,6,5,8
52293315800,4,3,5
30340705200,6,2,5
20582153800,7,4,5
60381190900,7,4,2
14323697100,8,6,8
59766221000,8,5,6
21663649000,3,6,6
40321697600,6,6,4
18284653000,7,4,9
86834762500,8,7,4
33065815800,2,9,4
42282875000,4,7,5
01983364000,8,6,6
02540496800,5,7,5
69286093900,7,6,3
53529757300,6,4,4
75294940700,6,5,6
70053883200,6,5,7
50075693800,5,5,6
73589223900,4,6,3
65956898100,4,8,6
65643900900,6,2,6
54696568700,7,8,4
79046135700,9,7,7
20183584900,4,5,5
85774109500,2,5,3
31933680300,6,6,2
59161308900,6,7,7
48192950000,5,6,5
25351868400,6,5,3
82738825800,8,3,4
66147376300,7,7,6
78966023700,8,6,4
57771411300,6,6,6
24224311600,6,9,4
05827341800,3,6,6
35430939900,7,8,7
50630860200,7,6,5
74233552600,7,6,6
56760744600,7,2,5
72665010100,6,9,6
16055873600,4,8,6
55470017000,8,5,2
87416332800,7,8,4
87894883700,1,5,2
35708613900,8,5,2
17508252400,6,7,7
87027236900,6,5,2
69727343400,5,9,7
47803283700,7,5,5
87703211500,6,5,5
34247708200,6,6,6
58587892700,4,7,5
22913450000,6,8,7
16678805400,5,6,7
14880809700,5,0,2
31485962400,7,6,4
61976750400,7,5,6
64666168500,7,5,3
71621464600,4,5,6
87836732300,1,6,6
65478546000,9,3,6
62664000200,6,7,5
32474285000,4,4,6
61519222600,7,9,0
08215927800,7,3,7
71711499700,6,3,0
21447302100,7,9,8
43576975400,7,6,7
67489099500,8,9,4
60328395600,5,5,5
38492307100,8,6,5
25905525200,3,5,7
88063095800,6,9,5
43901290600,2,8,6
29574574400,8,7,7
25209069100,7,7,7
66526795300,2,9,6
31540319200,8,7,3
36393832600,6,8,7
86505257700,7,6,6
07657775800,4,8,6
23228732400,3,5,6
23115653100,5,1,6
74760710000,7,6,4
84763369600,6,8,9
16357290000,7,7,2
53039844000,3,8,5
54707585800,2,6,3
88487554000,0,9,5
04640576400,5,6,6
34422467800,7,5,5
30928794400,4,7,4
40960557400,3,6,2
41532695700,7,5,3
53640065900,6,7,1
60669285300,6,4,4
78762143800,4,6,5
68796300300,4,8,4
82164559000,6,9,8
58533163700,7,6,3
87323889800,5,5,2
06423219400,3,8,5
44513631600,5,3,4
48374517400,6,5,7
04602370100,4,6,4
30039439600,6,2,6
80978016900,2,6,2
77612699100,4,6,6
44569214600,4,6,7
73177895600,6,0,5
53363046300,8,6,4
38525929300,6,2,4
17465505300,7,6,7
38662343200,6,6,5
42497047300,4,8,4
58747211300,6,7,6
60485677900,7,5,4
64040688100,5,5,4
79793434700,5,6,8
18089126800,8,6,1
33529322800,6,5,4
89935383400,2,6,4
55995996400,7,5,3
49282441700,7,6,7
35696013700,8,2,6
40941801700,7,6,5
48019509500,2,8,8
56529229200,8,9,7
50611057300,6,2,8
13427412400,5,4,9
03079119000,8,5,0
64028071700,4,5,8
35282778900,2,4,4
63409852400,4,3,9
21450913800,5,7,4
42713471800,7,2,1
09003068500,7,3,8
36637948800,9,9,9
87887584400,6,7,6
18160555700,5,3,5
30979166300,6,7,4
50102644700,8,3,4
34944621900,7,3,1
36541574000,6,6,6
69064842700,6,6,8
17531970700,6,4,6
70182721900,5,0,6
08277060800,7,7,3
52213364500,6,3,7
78805769900,8,5,5
25116400000,6,6,6
01734721700,7,2,5
68367054000,7,6,6
60971712700,7,6,9
81032546500,3,3,8
52761495200,8,7,7
81729176900,6,5,7
80399498800,6,6,8
76349206500,6,9,7
46633413900,6,6,7
30494253900,8,8,7
21108644100,5,9,6
51074611300,7,7,2
10393959100,6,8,3
58463014300,5,4,5
38573876700,6,7,6
62894438100,9,9,5
58487015400,7,6,6
62202686200,2,6,3
22862375100,5,8,4
68843309300,7,6,6
48744558100,7,6,7
29669901700,6,7,4
56125633000,8,6,6
27451058500,8,7,9
22166164500,3,8,8
41673131400,5,8,3
36906375000,8,1,5
16372297600,7,8,9
74826290400,1,7,5
55869201300,8,9,7
73344654700,5,1,4
63373216600,8,9,7
79688853300,3,9,7
33249301100,8,7,4
59317349100,9,6,5
79913241200,7,6,5
46198409500,7,6,6
76531205000,9,6,5
35683539500,6,8,7
41266639700,8,4,4
28193967300,5,4,7
53574734900,6,7,7
23953434700,7,6,5
10883163300,7,9,5
54848203500,6,8,3
52651123700,6,6,4
30323757500,3,5,4
25956759500,5,7,7
40189550000,6,7,8
26603215600,8,3,6
65088252600,9,8,7
15427550800,7,5,7
75692738000,7,6,9
19636346400,5,5,6
57210592700,4,5,9
26131626400,6,6,6
28341709300,5,7,4
55315263500,5,9,7
40364708800,5,6,7
09272686000,2,6,4
31030954600,6,6,5
44411212600,7,5,4
77406180200,8,8,6
65274621200,5,7,4
32682503400,7,3,4
12560454100,4,5,2
31130644000,6,6,4
76392760300,7,6,2
67455260600,6,8,5
36735564000,8,6,7
61490847100,7,9,4
34454028600,5,4,5
00756246600,4,5,2
62839947400,8,7,5
14232459500,6,9,4
22941580300,4,6,4
33494907600,6,5,8
58178222500,8,4,2
49379034000,6,7,6
22779641400,9,8,5
22137857000,5,5,2
69801126000,4,8,6
42332437200,6,5,4
42752769600,7,7,5
54076087000,5,1,6
76276154500,6,4,3
87752934500,5,6,5
18502937000,6,5,9
56567415300,6,7,7
01585766300,6,4,3
75316944600,9,8,6
68053251300,7,7,6
57733940300,6,4,3
61845457200,6,7,4
36458111000,4,1,4
30018514000,8,1,7
57893636100,6,8,4
54739101200,8,4,6
30864489900,6,1,3
65528192600,5,2,8
08277063100,7,6,6
74634532800,7,3,5
76883652000,6,4,7
23110212400,5,7,6
89849536000,4,5,5
67349103100,5,6,6
30281221100,7,6,5
54241294100,6,1,1
76138617700,8,6,5
70120438200,2,8,4
49775496200,6,6,2
21263448800,7,7,7
46264983100,7,7,1
41396591000,6,7,6
61331531700,4,6,6
33094512200,9,6,6
65210986600,5,7,5
53163617500,5,2,6
75054818700,6,6,6
16413486800,1,1,7
00745301100,4,6,6
58128736400,5,9,2
05055880300,2,5,5
80205590900,7,6,5
55354494900,3,6,6
18016676800,7,9,5
03497894800,8,6,6
66105127000,7,9,4
49804681600,9,5,5
89496089200,5,6,8
60987190100,7,2,8
83982161300,6,5,5
55174035100,5,5,7
53078192300,3,5,4
73085379800,1,6,9
00713111200,5,8,7
74221964700,4,4,4
35135547500,1,9,9
21043127700,4,4,9
36821898800,9,6,7
50419030600,7,6,9
81119151400,4,5,4
02717813100,0,7,4
55261173900,7,8,6
14536643400,5,6,6
79582899800,4,4,5
22613487200,7,5,4
60625485200,5,5,5
41081580300,5,4,6
76413675800,6,5,6
17095301900,6,8,4
85341448700,5,2,6
86088490100,8,6,8
57418435900,5,7,6
14805794700,5,5,4
52850934800,2,5,6
32871971800,7,6,6
27452769800,6,6,5
32096260100,5,6,6
61964564600,6,6,8
87798942600,7,8,8
69389925100,3,5,3
36306448800,7,9,6
62002382700,7,8,5
42309495000,3,6,2
83399105100,9,4,6
59962235400,5,3,5
63045554500,7,6,4
54371822100,5,4,5
77599034500,6,5,4
88641847000,6,0,3
59006306200,2,6,5
54065419800,5,7,6
85660231800,4,5,6
36218770600,3,8,6
08347909400,8,7,6
41306023800,6,6,6
04673854400,6,4,8
43865100700,6,5,6
01278020900,7,3,4
10558896000,6,8,7
56343653800,5,8,6
73859468000,6,6,3
57565594400,5,6,9
87429826100,5,8,2
76057126100,6,6,5
18241464000,4,5,4
16558309000,2,8,8
10744316800,5,7,1
39358168000,6,7,4
59830798800,4,3,6
63391282000,6,6,6
79768701600,6,5,7
19737564600,6,5,4
81206537000,3,5,9
13596518700,5,3,5
59160771400,6,4,6
42184909100,9,4,6
17851829200,5,9,9
52084365100,4,8,6
67107887800,6,7,6
14459511600,6,6,6
35873251300,6,7,2
48168728200,5,6,6
43560912100,6,5,4
79230570000,7,4,5
44636480800,6,5,6
41801427200,3,8,5
85564497900,7,5,6
69013472400,8,7,7
88599123300,8,6,6
89425604600,4,3,7
18169797900,8,9,6
32915730200,4,7,7
27119607000,4,5,5
31655330400,8,6,9
60097594300,7,7,6
36951650700,9,6,5
84431601100,8,6,8
05650870000,6,0,5
54684922000,5,2,3
81320460800,3,5,5
86560160100,7,5,5
81582256800,4,6,8
35943331500,0,7,8
72797750800,7,4,7
46173416800,7,6,6
89367640300,5,7,6
70697776800,3,6,6
27384215500,8,8,4
59491024500,7,5,4
05027941400,5,5,7
03949983200,5,4,5
63387456300,9,5,8
26113391500,5,4,8
00838462600,3,2,4
19931618400,6,7,4
11685935900,2,6,9
82551290100,5,3,4
09052801200,8,4,6
12529299300,5,4,5
83994613300,5,6,5
19661992400,4,4,5
00625362500,6,7,3
86564207800,5,6,6
17365912600,7,5,4
08269488800,7,4,4
46621679000,7,4,6
67416116500,2,8,8
74487658800,6,6,4
53929125800,6,4,6
49458370800,3,6,8
55207574700,6,6,9
67759057900,7,8,6
28792809100,6,5,6
43201766600,8,5,7
32696078600,7,6,2
86181860800,6,8,7
43265745500,7,7,7
13554678800,6,4,2
